Feedback ID,Customer ID,Customer Name,Customer Segment,Industry,Subscription Plan,Feedback Date,Feedback Source,Feedback Type,Feedback Text,Product Area,Feature Requested,Pain Point Category,Severity Level,Sentiment Score,Customer Satisfaction Score,NPS Score,Frequency of Similar Requests,Revenue Impact,Retention Risk,Business Value Score,Customer Impact Score,Strategic Alignment Score,Development Effort,Priority Score,Roadmap Decision,Roadmap Quarter,Feedback Status
FB-0015,CUST-015,Customer 15,Enterprise,SaaS,Business,2026-05-29,Customer Interview,Positive Feedback,We are seeing recurring issues around Mobile limitation in the mobile app area.,Mobile App,Mobile Offline Mode,Mobile limitation,Medium,-0.86,5,-83,12,5,2,2.73,1,5,1,3.6,Next,Q3 2026,Under Review
FB-0016,CUST-016,Customer 16,Startup,Retail,Enterprise,2026-01-19,Product Usage Feedback,Positive Feedback,We need team collaboration because the current workflow is slowing our team down.,Collaboration,Team Collaboration,Collaboration friction,Medium,-0.09,3,-67,26,3,2,2.53,3,2,3,2.6,Monitor,Q4 2026,New
FB-0017,CUST-017,Customer 17,SMB,SaaS,Pro,2026-06-19,Survey,Usability Issue,We would value better flexible billing to support our growing team.,Billing,Flexible Billing,Billing friction,Low,0.22,3,80,35,2,3,2.83,3,2,4,2.4,Monitor,Q4 2026,Closed
FB-0018,CUST-018,Customer 18,SMB,SaaS,Starter,2026-08-01,Product Review,Bug,We need custom reports because the current workflow is slowing our team down.,Reporting,Custom Reports,Manual reporting,Medium,0.01,3,-48,22,2,3,2.4,3,5,2,3.4,Next,Q3 2026,Prioritized
FB-0019,CUST-019,Customer 19,Enterprise,EdTech,Enterprise,2026-08-02,Sales Feedback,Integration Request,The Integrations experience is difficult and requires too many manual steps.,Integrations,Salesforce Integration,Integration gap,Medium,0.89,1,-72,1,3,2,1.7,4,5,4,3.2,Later,Q4 2026,Closed
FB-0020,CUST-020,Customer 20,Startup,Manufacturing,Business,2026-03-02,NPS Survey,Usability Issue,We would value better advanced analytics to support our growing team.,Analytics,Advanced Analytics,Limited visibility,High,0.77,5,99,23,1,3,2.1,2,2,1,2.6,Later,Q4 2026,Roadmap
FB-0021,CUST-021,Customer 21,Startup,Retail,Pro,2026-03-20,Support Ticket,Feature Request,The Integrations experience is difficult and requires too many manual steps.,Integrations,Salesforce Integration,Integration gap,Medium,0.72,1,-3,7,3,4,2.57,2,3,2,3.2,Later,Q4 2026,Under Review
FB-0022,CUST-022,Customer 22,Enterprise,EdTech,Pro,2026-01-10,Survey,Performance Issue,The Search experience is difficult and requires too many manual steps.,Search,Global Search,Poor discoverability,High,-0.77,1,-16,35,1,3,2.5,3,5,4,2.8,Later,Q2 2027,Prioritized
FB-0023,CUST-023,Customer 23,SMB,Healthcare,Starter,2026-01-18,Sales Feedback,Integration Request,The Search experience is difficult and requires too many manual steps.,Search,Global Search,Poor discoverability,Medium,-1.0,4,-89,17,5,1,2.57,4,5,2,3.8,Next,Q1 2027,In Progress
FB-0024,CUST-024,Customer 24,Enterprise,EdTech,Pro,2026-04-14,Product Usage Feedback,Pricing Feedback,The Performance experience is difficult and requires too many manual steps.,Performance,Faster Page Load,Workflow inefficiency,High,0.33,4,-51,9,4,3,2.63,4,3,5,3.0,Later,Q3 2026,Roadmap
FB-0025,CUST-025,Customer 25,SMB,Manufacturing,Enterprise,2026-03-14,Product Usage Feedback,Pricing Feedback,The Dashboard experience is difficult and requires too many manual steps.,Dashboard,Real-time Dashboard,Slow performance,Medium,0.02,2,72,29,5,5,4.3,3,4,4,3.8,Next,Q1 2027,Closed
FB-0026,CUST-026,Customer 26,Enterprise,FinTech,Starter,2026-05-07,Customer Success,Performance Issue,We would value better smart notifications to support our growing team.,Notifications,Smart Notifications,Notification overload,High,-0.09,1,56,31,2,2,2.37,1,1,2,2.0,Monitor,Q4 2026,Closed
FB-0027,CUST-027,Customer 27,Mid-Market,EdTech,Pro,2026-07-13,Community Forum,Feature Request,We would value better custom reports to support our growing team.,Reporting,Custom Reports,Manual reporting,Medium,-0.73,4,-69,16,2,2,1.87,5,4,1,3.6,Next,Q2 2027,Roadmap
FB-0028,CUST-028,Customer 28,Startup,Healthcare,Pro,2026-05-19,Survey,Usability Issue,Please improve mobile offline mode; this is affecting adoption for our users.,Mobile App,Mobile Offline Mode,Mobile limitation,Medium,0.43,1,12,18,2,3,2.27,5,4,2,3.6,Next,Q4 2026,Under Review
FB-0029,CUST-029,Customer 29,Mid-Market,EdTech,Enterprise,2026-08-08,Customer Success,Performance Issue,We are seeing recurring issues around Poor discoverability in the search area.,Search,Global Search,Poor discoverability,Medium,-0.88,4,19,35,2,1,2.17,4,4,3,2.8,Later,Q2 2027,Roadmap
FB-0030,CUST-030,Customer 30,Enterprise,Healthcare,Starter,2026-07-05,NPS Survey,Integration Request,We are seeing recurring issues around Notification overload in the notifications area.,Notifications,Smart Notifications,Notification overload,Medium,-0.13,3,-44,32,4,5,4.07,5,5,2,4.6,Now,Q2 2027,New
FB-0031,CUST-001,Customer 01,Mid-Market,Healthcare,Business,2026-04-27,Sales Feedback,Positive Feedback,We are seeing recurring issues around Workflow inefficiency in the performance area.,Performance,Faster Page Load,Workflow inefficiency,Critical,-0.64,4,-66,28,4,5,3.93,5,1,1,4.0,Next,Q1 2027,Prioritized
FB-0032,CUST-002,Customer 02,Startup,SaaS,Business,2026-02-21,Customer Interview,Pricing Feedback,We need global search because the current workflow is slowing our team down.,Search,Global Search,Poor discoverability,High,0.56,1,-43,23,1,4,2.43,1,5,1,3.2,Later,Q4 2026,Closed
FB-0033,CUST-003,Customer 03,Mid-Market,FinTech,Pro,2026-01-28,Customer Interview,Usability Issue,We need mobile offline mode because the current workflow is slowing our team down.,Mobile App,Mobile Offline Mode,Mobile limitation,Medium,0.93,5,55,11,5,2,2.7,4,3,3,3.4,Next,Q1 2027,Closed
FB-0034,CUST-004,Customer 04,Startup,EdTech,Pro,2026-01-04,Customer Success,Customer Experience Issue,We need real-time dashboard because the current workflow is slowing our team down.,Dashboard,Real-time Dashboard,Slow performance,Critical,-0.14,5,-12,3,2,1,1.1,3,5,1,3.2,Later,Q2 2027,Prioritized
FB-0035,CUST-005,Customer 05,Enterprise,Manufacturing,Pro,2026-03-24,Support Ticket,Customer Experience Issue,We are seeing recurring issues around Billing friction in the billing area.,Billing,Flexible Billing,Billing friction,Medium,0.55,5,57,18,4,2,2.6,4,2,5,2.6,Later,Q3 2026,Roadmap
FB-0036,CUST-006,Customer 06,SMB,Healthcare,Pro,2026-06-02,Product Review,Product Enhancement,Please improve real-time dashboard; this is affecting adoption for our users.,Dashboard,Real-time Dashboard,Slow performance,Medium,-0.02,2,-17,32,5,5,4.4,4,3,1,4.4,Now,Q3 2026,Prioritized
FB-0037,CUST-007,Customer 07,Mid-Market,Healthcare,Pro,2026-05-02,Product Usage Feedback,Bug,The Dashboard experience is difficult and requires too many manual steps.,Dashboard,Real-time Dashboard,Slow performance,Medium,-0.41,1,-96,29,4,5,3.97,2,4,4,3.4,Next,Q1 2027,Roadmap
FB-0038,CUST-008,Customer 08,Startup,Manufacturing,Business,2026-02-19,Support Ticket,Complaint,We would value better flexible billing to support our growing team.,Billing,Flexible Billing,Billing friction,High,-0.37,2,84,8,4,3,2.6,3,3,2,3.4,Next,Q2 2027,Closed
FB-0039,CUST-009,Customer 09,SMB,SaaS,Enterprise,2026-05-22,Product Review,Positive Feedback,Please improve faster page load; this is affecting adoption for our users.,Performance,Faster Page Load,Workflow inefficiency,Medium,0.42,1,-23,12,1,2,1.4,3,2,3,2.2,Monitor,Q4 2026,Under Review
FB-0040,CUST-010,Customer 10,Startup,Retail,Enterprise,2026-05-28,Customer Interview,Bug,We are seeing recurring issues around Limited visibility in the analytics area.,Analytics,Advanced Analytics,Limited visibility,Medium,-0.77,4,-36,4,4,4,2.8,4,3,2,3.8,Next,Q4 2026,New
FB-0041,CUST-011,Customer 11,Mid-Market,EdTech,Starter,2026-03-20,Customer Interview,Positive Feedback,Please improve smart notifications; this is affecting adoption for our users.,Notifications,Smart Notifications,Notification overload,High,-0.24,5,98,15,2,1,1.5,5,4,5,2.6,Monitor,Q3 2026,Roadmap
FB-0042,CUST-012,Customer 12,Mid-Market,Healthcare,Enterprise,2026-03-01,Product Review,Performance Issue,We are seeing recurring issues around Notification overload in the notifications area.,Notifications,Smart Notifications,Notification overload,Medium,-0.1,4,-100,11,2,2,1.7,2,5,1,3.2,Later,Q1 2027,In Progress
FB-0043,CUST-013,Customer 13,Startup,SaaS,Business,2026-07-22,Product Review,Bug,We need real-time dashboard because the current workflow is slowing our team down.,Dashboard,Real-time Dashboard,Slow performance,Low,0.82,2,65,15,5,2,2.83,4,1,5,2.6,Later,Q1 2027,Under Review
FB-0044,CUST-014,Customer 14,Startup,EdTech,Pro,2026-01-07,Survey,Bug,Please improve mobile offline mode; this is affecting adoption for our users.,Mobile App,Mobile Offline Mode,Mobile limitation,Medium,-0.92,5,-80,29,4,3,3.3,5,5,4,3.8,Next,Q4 2026,Roadmap
FB-0045,CUST-015,Customer 15,Enterprise,Retail,Pro,2026-04-15,Sales Feedback,Pricing Feedback,We need team collaboration because the current workflow is slowing our team down.,Collaboration,Team Collaboration,Collaboration friction,Critical,0.27,4,49,12,2,4,2.4,5,4,3,3.6,Next,Q1 2027,Roadmap
FB-0046,CUST-016,Customer 16,Enterprise,EdTech,Enterprise,2026-06-18,Product Usage Feedback,Usability Issue,We are seeing recurring issues around Billing friction in the billing area.,Billing,Flexible Billing,Billing friction,Medium,-0.5,3,-78,30,4,3,3.33,4,5,1,4.2,Now,Q2 2027,New
FB-0047,CUST-017,Customer 17,Startup,SaaS,Enterprise,2026-06-11,Support Ticket,Feature Request,We are seeing recurring issues around Slow performance in the dashboard area.,Dashboard,Real-time Dashboard,Slow performance,Medium,0.86,2,40,18,5,4,3.6,4,1,2,3.6,Next,Q4 2026,Roadmap
FB-0048,CUST-018,Customer 18,SMB,Retail,Starter,2026-03-04,Community Forum,Complaint,We are seeing recurring issues around Limited visibility in the analytics area.,Analytics,Advanced Analytics,Limited visibility,Medium,0.02,3,27,10,1,2,1.33,1,4,1,2.6,Later,Q4 2026,Prioritized
FB-0049,CUST-019,Customer 19,Startup,EdTech,Starter,2026-02-08,Community Forum,Performance Issue,We would value better team collaboration to support our growing team.,Collaboration,Team Collaboration,Collaboration friction,Medium,-0.43,1,-32,33,2,1,2.1,3,4,3,2.6,Later,Q2 2027,Prioritized
FB-0050,CUST-020,Customer 20,SMB,Manufacturing,Starter,2026-04-09,NPS Survey,Integration Request,We are seeing recurring issues around Workflow inefficiency in the performance area.,Performance,Faster Page Load,Workflow inefficiency,Medium,-0.91,4,-41,25,4,4,3.5,3,2,2,3.4,Next,Q2 2027,Closed
FB-0051,CUST-021,Customer 21,Enterprise,SaaS,Starter,2026-07-20,Product Review,Usability Issue,The Performance experience is difficult and requires too many manual steps.,Performance,Faster Page Load,Workflow inefficiency,Low,-0.18,2,-97,30,3,1,2.33,4,1,5,2.0,Monitor,Q1 2027,Closed
FB-0052,CUST-022,Customer 22,Startup,FinTech,Enterprise,2026-04-22,Survey,Bug,Please improve flexible billing; this is affecting adoption for our users.,Billing,Flexible Billing,Billing friction,Low,-0.53,1,58,3,5,4,3.1,3,4,5,3.4,Next,Q3 2026,Closed
FB-0053,CUST-023,Customer 23,Startup,Manufacturing,Business,2026-02-13,NPS Survey,Usability Issue,We would value better smart notifications to support our growing team.,Notifications,Smart Notifications,Notification overload,Low,-0.51,2,10,24,1,3,2.13,1,3,3,2.2,Monitor,Q3 2026,Roadmap
FB-0054,CUST-024,Customer 24,Startup,Manufacturing,Business,2026-01-19,Community Forum,Positive Feedback,Please improve real-time dashboard; this is affecting adoption for our users.,Dashboard,Real-time Dashboard,Slow performance,Medium,0.8,1,-35,30,5,2,3.33,2,4,3,3.2,Later,Q1 2027,Roadmap
FB-0055,CUST-025,Customer 25,SMB,SaaS,Starter,2026-03-12,Customer Interview,Customer Experience Issue,Please improve smart notifications; this is affecting adoption for our users.,Notifications,Smart Notifications,Notification overload,Medium,-0.28,5,-3,16,3,2,2.2,4,4,1,3.6,Next,Q3 2026,Prioritized
FB-0056,CUST-026,Customer 26,Startup,Healthcare,Starter,2026-01-09,Sales Feedback,Pricing Feedback,We need real-time dashboard because the current workflow is slowing our team down.,Dashboard,Real-time Dashboard,Slow performance,Medium,0.81,1,60,9,3,2,1.97,2,5,3,3.0,Later,Q4 2026,Closed
FB-0057,CUST-027,Customer 27,Enterprise,Healthcare,Pro,2026-07-25,Survey,Pricing Feedback,We are seeing recurring issues around Billing friction in the billing area.,Billing,Flexible Billing,Billing friction,Medium,0.66,3,28,34,2,2,2.47,2,5,3,2.8,Later,Q2 2027,Prioritized
FB-0058,CUST-028,Customer 28,Enterprise,EdTech,Starter,2026-07-30,Sales Feedback,Usability Issue,Please improve real-time dashboard; this is affecting adoption for our users.,Dashboard,Real-time Dashboard,Slow performance,Low,-0.75,5,-33,1,4,5,3.03,3,1,4,3.0,Later,Q3 2026,Prioritized
FB-0059,CUST-029,Customer 29,Mid-Market,SaaS,Enterprise,2026-03-19,Community Forum,Product Enhancement,The Analytics experience is difficult and requires too many manual steps.,Analytics,Advanced Analytics,Limited visibility,Medium,0.3,3,79,30,5,3,3.67,5,2,1,4.0,Next,Q3 2026,New
FB-0060,CUST-030,Customer 30,Enterprise,Healthcare,Enterprise,2026-06-26,Sales Feedback,Performance Issue,We are seeing recurring issues around Workflow inefficiency in the performance area.,Performance,Faster Page Load,Workflow inefficiency,High,0.67,1,6,10,4,3,2.67,5,4,5,3.4,Next,Q4 2026,In Progress
FB-0061,CUST-001,Customer 01,Startup,Manufacturing,Business,2026-06-14,Customer Interview,Product Enhancement,We need real-time dashboard because the current workflow is slowing our team down.,Dashboard,Real-time Dashboard,Slow performance,Low,0.94,2,-30,26,1,3,2.2,5,3,1,3.4,Next,Q3 2026,Roadmap
FB-0062,CUST-002,Customer 02,SMB,Healthcare,Business,2026-02-03,Product Usage Feedback,Performance Issue,We need salesforce integration because the current workflow is slowing our team down.,Integrations,Salesforce Integration,Integration gap,Medium,0.55,3,-41,14,2,1,1.47,5,2,5,2.2,Monitor,Q1 2027,In Progress
FB-0063,CUST-003,Customer 03,Mid-Market,SaaS,Enterprise,2026-05-02,Community Forum,Bug,We would value better advanced analytics to support our growing team.,Analytics,Advanced Analytics,Limited visibility,High,-0.75,1,-33,12,3,2,2.07,5,3,1,3.6,Next,Q1 2027,Roadmap
FB-0064,CUST-004,Customer 04,Enterprise,Retail,Starter,2026-01-19,Survey,Product Enhancement,We need faster page load because the current workflow is slowing our team down.,Performance,Faster Page Load,Workflow inefficiency,High,0.69,4,-85,2,5,1,2.07,5,3,4,3.2,Later,Q1 2027,Roadmap
FB-0065,CUST-005,Customer 05,Mid-Market,Manufacturing,Enterprise,2026-08-07,Product Usage Feedback,Bug,We need salesforce integration because the current workflow is slowing our team down.,Integrations,Salesforce Integration,Integration gap,High,0.01,4,-25,34,5,5,4.47,3,4,5,3.6,Next,Q4 2026,Roadmap
FB-0066,CUST-006,Customer 06,Startup,SaaS,Enterprise,2026-08-01,Survey,Product Enhancement,We are seeing recurring issues around Slow performance in the dashboard area.,Dashboard,Real-time Dashboard,Slow performance,Medium,-0.25,3,-20,28,4,4,3.6,4,1,3,3.2,Later,Q3 2026,Under Review
FB-0067,CUST-007,Customer 07,Startup,Manufacturing,Enterprise,2026-03-15,Product Review,Bug,We are seeing recurring issues around Billing friction in the billing area.,Billing,Flexible Billing,Billing friction,Medium,-0.18,1,71,22,5,1,2.73,5,5,5,3.4,Next,Q1 2027,Closed
FB-0068,CUST-008,Customer 08,Enterprise,EdTech,Enterprise,2026-06-05,Product Review,Positive Feedback,We would value better faster page load to support our growing team.,Performance,Faster Page Load,Workflow inefficiency,High,0.15,3,-71,24,4,2,2.8,1,3,5,2.2,Monitor,Q3 2026,Roadmap
FB-0069,CUST-009,Customer 09,Mid-Market,Manufacturing,Business,2026-04-07,Customer Success,Pricing Feedback,We need smart notifications because the current workflow is slowing our team down.,Notifications,Smart Notifications,Notification overload,Low,0.48,2,-83,26,3,1,2.2,2,2,5,1.8,Monitor,Q2 2027,New
FB-0070,CUST-010,Customer 10,SMB,Retail,Starter,2026-05-05,Community Forum,Usability Issue,Please improve flexible billing; this is affecting adoption for our users.,Billing,Flexible Billing,Billing friction,High,-0.9,5,-60,10,3,5,3.0,5,1,1,3.8,Next,Q2 2027,New
FB-0071,CUST-011,Customer 11,SMB,SaaS,Enterprise,2026-02-22,Product Review,Performance Issue,We would value better faster page load to support our growing team.,Performance,Faster Page Load,Workflow inefficiency,High,-0.91,3,70,34,4,1,2.8,3,5,4,3.0,Later,Q4 2026,Roadmap
FB-0072,CUST-012,Customer 12,Mid-Market,SaaS,Starter,2026-08-09,Customer Interview,Pricing Feedback,Please improve smart notifications; this is affecting adoption for our users.,Notifications,Smart Notifications,Notification overload,High,0.0,2,36,25,1,4,2.5,4,2,2,3.0,Later,Q2 2027,Closed
FB-0073,CUST-013,Customer 13,Enterprise,EdTech,Starter,2026-08-01,Sales Feedback,Product Enhancement,The Reporting experience is difficult and requires too many manual steps.,Reporting,Custom Reports,Manual reporting,Low,-0.96,4,-71,19,5,4,3.63,5,4,4,4.0,Next,Q3 2026,Prioritized
FB-0074,CUST-014,Customer 14,Startup,Manufacturing,Enterprise,2026-05-16,Product Usage Feedback,Bug,We would value better real-time dashboard to support our growing team.,Dashboard,Real-time Dashboard,Slow performance,Medium,0.56,3,-44,22,4,5,3.73,1,4,3,3.4,Next,Q4 2026,New
FB-0075,CUST-015,Customer 15,SMB,Retail,Starter,2026-06-24,Sales Feedback,Integration Request,We are seeing recurring issues around Integration gap in the integrations area.,Integrations,Salesforce Integration,Integration gap,High,-0.65,1,94,10,2,3,2.0,2,2,5,2.0,Monitor,Q1 2027,Closed
FB-0076,CUST-016,Customer 16,Mid-Market,Healthcare,Pro,2026-01-20,Survey,Product Enhancement,We need custom reports because the current workflow is slowing our team down.,Reporting,Custom Reports,Manual reporting,Medium,-0.08,3,-82,33,3,3,3.1,5,1,3,3.0,Later,Q2 2027,New
FB-0077,CUST-017,Customer 17,Startup,Healthcare,Enterprise,2026-05-10,NPS Survey,Positive Feedback,We need faster page load because the current workflow is slowing our team down.,Performance,Faster Page Load,Workflow inefficiency,Low,0.92,2,28,31,1,4,2.7,5,2,3,3.0,Later,Q3 2026,Roadmap
FB-0078,CUST-018,Customer 18,Mid-Market,SaaS,Pro,2026-01-25,Product Usage Feedback,Product Enhancement,Please improve mobile offline mode; this is affecting adoption for our users.,Mobile App,Mobile Offline Mode,Mobile limitation,Medium,0.36,3,4,25,5,2,3.17,3,3,3,3.2,Later,Q2 2027,New
FB-0079,CUST-019,Customer 19,SMB,Healthcare,Starter,2026-06-14,Sales Feedback,Pricing Feedback,We need team collaboration because the current workflow is slowing our team down.,Collaboration,Team Collaboration,Collaboration friction,Low,-0.74,4,67,20,3,1,2.0,5,2,3,2.8,Later,Q4 2026,Closed
FB-0080,CUST-020,Customer 20,Enterprise,Healthcare,Enterprise,2026-05-10,Product Usage Feedback,Customer Experience Issue,We need faster page load because the current workflow is slowing our team down.,Performance,Faster Page Load,Workflow inefficiency,High,1.0,2,-51,32,3,3,3.07,2,2,3,2.6,Later,Q3 2026,Under Review
FB-0081,CUST-021,Customer 21,SMB,Retail,Pro,2026-07-12,Community Forum,Positive Feedback,The Integrations experience is difficult and requires too many manual steps.,Integrations,Salesforce Integration,Integration gap,Medium,-0.27,4,-89,29,2,2,2.3,2,5,2,3.0,Later,Q4 2026,Closed
FB-0082,CUST-022,Customer 22,Mid-Market,FinTech,Business,2026-03-06,Customer Interview,Pricing Feedback,The Mobile App experience is difficult and requires too many manual steps.,Mobile App,Mobile Offline Mode,Mobile limitation,Low,0.01,4,99,19,2,3,2.3,5,4,4,3.2,Later,Q2 2027,Roadmap
FB-0083,CUST-023,Customer 23,SMB,FinTech,Starter,2026-03-31,Customer Interview,Complaint,We need custom reports because the current workflow is slowing our team down.,Reporting,Custom Reports,Manual reporting,Medium,-0.71,5,15,18,5,1,2.6,3,1,2,2.8,Later,Q2 2027,Roadmap
FB-0084,CUST-024,Customer 24,Enterprise,Healthcare,Starter,2026-06-28,NPS Survey,Customer Experience Issue,We need faster page load because the current workflow is slowing our team down.,Performance,Faster Page Load,Workflow inefficiency,High,0.58,3,-75,21,4,1,2.37,3,2,1,3.0,Later,Q2 2027,Under Review
FB-0085,CUST-025,Customer 25,Startup,SaaS,Enterprise,2026-03-03,Customer Success,Positive Feedback,Please improve advanced analytics; this is affecting adoption for our users.,Analytics,Advanced Analytics,Limited visibility,Low,0.55,1,8,34,1,3,2.47,2,2,5,1.8,Monitor,Q2 2027,Under Review
FB-0086,CUST-026,Customer 26,Enterprise,Retail,Business,2026-06-20,Survey,Bug,We would value better mobile offline mode to support our growing team.,Mobile App,Mobile Offline Mode,Mobile limitation,Medium,0.23,1,9,19,1,5,2.63,5,2,2,3.4,Next,Q1 2027,Under Review
FB-0087,CUST-027,Customer 27,Enterprise,Healthcare,Enterprise,2026-03-30,Support Ticket,Complaint,We need faster page load because the current workflow is slowing our team down.,Performance,Faster Page Load,Workflow inefficiency,Medium,0.96,4,62,3,5,5,3.43,1,4,4,3.4,Next,Q3 2026,Prioritized
FB-0088,CUST-028,Customer 28,SMB,FinTech,Enterprise,2026-03-22,Product Review,Usability Issue,We need advanced analytics because the current workflow is slowing our team down.,Analytics,Advanced Analytics,Limited visibility,High,-0.93,4,-84,9,3,2,1.97,4,4,2,3.4,Next,Q2 2027,Under Review
FB-0089,CUST-029,Customer 29,Startup,Retail,Pro,2026-02-17,Community Forum,Pricing Feedback,We are seeing recurring issues around Limited visibility in the analytics area.,Analytics,Advanced Analytics,Limited visibility,Medium,-0.13,3,-69,18,2,3,2.27,3,1,3,2.4,Monitor,Q2 2027,Roadmap
FB-0090,CUST-030,Customer 30,SMB,Healthcare,Starter,2026-06-04,Customer Success,Complaint,Please improve smart notifications; this is affecting adoption for our users.,Notifications,Smart Notifications,Notification overload,Medium,-0.79,3,-25,35,4,1,2.83,4,5,2,3.6,Next,Q4 2026,Prioritized
FB-0091,CUST-001,Customer 01,Startup,SaaS,Business,2026-08-06,Community Forum,Integration Request,The Mobile App experience is difficult and requires too many manual steps.,Mobile App,Mobile Offline Mode,Mobile limitation,Critical,-0.27,4,71,5,3,5,2.83,4,3,1,4.0,Next,Q3 2026,Closed
FB-0092,CUST-002,Customer 02,Mid-Market,SaaS,Business,2026-05-16,Sales Feedback,Bug,We are seeing recurring issues around Slow performance in the dashboard area.,Dashboard,Real-time Dashboard,Slow performance,Medium,0.9,4,73,10,3,3,2.33,4,5,1,4.0,Next,Q2 2027,Prioritized
FB-0093,CUST-003,Customer 03,SMB,Healthcare,Starter,2026-02-21,Survey,Pricing Feedback,We would value better real-time dashboard to support our growing team.,Dashboard,Real-time Dashboard,Slow performance,Low,0.41,3,-33,8,1,2,1.27,4,5,4,2.8,Later,Q4 2026,Under Review
FB-0094,CUST-004,Customer 04,Enterprise,Healthcare,Business,2026-02-01,Support Ticket,Product Enhancement,The Integrations experience is difficult and requires too many manual steps.,Integrations,Salesforce Integration,Integration gap,Low,0.7,3,-26,35,4,1,2.83,3,3,1,3.2,Later,Q4 2026,Closed
